Date,AAPL,SPY
2024-10-28,232.31878662109375,573.8533935546875
2024-10-29,232.58753967285156,574.7821044921875
2024-10-30,229.03407287597656,573.0432739257812
2024-10-31,224.8634796142578,561.809814453125
2024-11-01,221.8773651123047,564.1809692382812
2024-11-04,220.98153686523438,562.9656982421875
2024-11-05,222.4148712158203,569.7730102539062
2024-11-06,221.68824768066406,583.9407348632812
2024-11-07,226.4262237548828,588.455810546875
2024-11-08,226.15716552734375,591.0048217773438
2024-11-11,223.4368133544922,591.5679931640625
2024-11-12,223.4368133544922,589.7303466796875
2024-11-13,224.3236541748047,590.016845703125
2024-11-14,227.41270446777344,586.2229614257812
2024-11-15,224.2041015625,578.7142333984375
2024-11-18,227.21340942382812,581.08544921875
2024-11-19,227.4724884033203,583.2095947265625
2024-11-20,228.18994140625,583.4071655273438
2024-11-21,227.71165466308594,586.5391235351562
2024-11-22,229.05686950683594,588.3570556640625
2024-11-25,232.04624938964844,590.3528442382812
2024-11-26,234.228515625,593.4353637695312
2024-11-27,234.0989532470703,591.6371459960938
2024-11-29,236.490478515625,595.3124389648438
2024-12-02,238.74246215820312,596.3795166015625
2024-12-03,241.79165649414062,596.6561279296875
2024-12-04,242.150390625,600.3610229492188
2024-12-05,242.18026733398438,599.3731079101562
2024-12-06,241.98097229003906,600.5093383789062
2024-12-09,245.8771514892578,597.4168701171875
2024-12-10,246.8935546875,595.5594482421875
2024-12-11,245.6180877685547,600.1635131835938
2024-12-12,247.08287048339844,597.0711059570312
2024-12-13,247.2522735595703,596.9525146484375
2024-12-16,250.1519775390625,599.5015258789062
2024-12-17,252.58334350585938,597.0315551757812
2024-12-18,247.1725616455078,579.2379150390625
2024-12-19,248.90640258789062,579.0599975585938
2024-12-20,253.58978271484375,586.01513671875
2024-12-23,254.3670196533203,589.5243530273438
2024-12-24,257.28668212890625,596.076904296875
2024-12-26,258.1037292480469,596.11669921875
2024-12-27,254.6858673095703,589.8416137695312
2024-12-30,251.30787658691406,583.1105346679688
2024-12-31,249.5341796875,580.9891357421875
2025-01-02,242.98741149902344,579.5616455078125
2025-01-03,242.49916076660156,586.8081665039062
2025-01-06,244.1333465576172,590.1885375976562
2025-01-07,241.3532257080078,583.5169677734375
2025-01-08,241.84149169921875,584.3695068359375
2025-01-10,236.01219177246094,575.4476928710938
2025-01-13,233.5708465576172,576.3399047851562
2025-01-14,232.45480346679688,577.1329345703125
2025-01-15,237.028564453125,587.6309814453125
2025-01-16,227.4525604248047,586.5008544921875
2025-01-17,229.1664581298828,592.3892822265625
2025-01-21,221.85243225097656,597.811767578125
2025-01-22,223.03823852539062,601.1723022460938
2025-01-23,222.86883544921875,604.4535522460938
2025-01-24,221.991943359375,602.68896484375
2025-01-27,229.04690551757812,594.1637573242188
2025-01-28,237.4171905517578,599.2689819335938
2025-01-29,238.5133056640625,596.5825805664062
2025-01-30,236.7495574951172,599.7844848632812
2025-01-31,235.16519165039062,596.5924072265625
2025-02-03,227.2034454345703,592.57763671875
2025-02-04,231.97650146484375,596.5527954101562
2025-02-05,231.64767456054688,598.9715576171875
2025-02-06,232.39501953125,601.0533447265625
2025-02-07,226.82479858398438,595.5515747070312
2025-02-10,227.0941162109375,599.5960693359375
2025-02-11,232.052001953125,600.0521850585938
2025-02-12,236.29161071777344,598.1190795898438
2025-02-13,240.94024658203125,604.4337158203125
2025-02-14,244.00274658203125,604.4039916992188
2025-02-18,243.87306213378906,606.1784057617188
2025-02-19,244.27207946777344,607.6058959960938
2025-02-20,245.229736328125,605.078125
2025-02-21,244.95042419433594,594.728759765625
2025-02-24,246.49664306640625,592.0224609375
2025-02-25,246.43678283691406,589.0782470703125
2025-02-26,239.77308654785156,589.3756713867188
2025-02-27,236.72056579589844,579.9680786132812
2025-02-28,241.24948120117188,589.0187377929688
2025-03-03,237.4487762451172,578.69921875
2025-03-04,235.35391235351562,571.8493041992188
2025-03-05,235.1643829345703,577.995361328125
2025-03-06,234.75538635253906,567.7352905273438
2025-03-07,238.4862518310547,570.9173583984375
2025-03-10,226.92454528808594,555.710693359375
2025-03-11,220.30076599121094,551.0911254882812
2025-03-12,216.45018005371094,554.0155639648438
