Date,AAPL,MSFT
2024-10-28,232.3187713623047,423.4112243652344
2024-10-29,232.5875244140625,428.7312927246094
2024-10-30,229.03407287597656,429.3069763183594
2024-10-31,224.86349487304688,403.3220520019531
2024-11-01,221.8773956298828,407.3121032714844
2024-11-04,220.98153686523438,405.41632080078125
2024-11-05,222.41485595703125,408.3939514160156
2024-11-06,221.68826293945312,417.0489807128906
2024-11-07,226.4261932373047,422.2598571777344
2024-11-08,226.15716552734375,419.3913879394531
2024-11-11,223.43682861328125,414.8951721191406
2024-11-12,223.43682861328125,419.87774658203125
2024-11-13,224.32366943359375,422.0315856933594
2024-11-14,227.41270446777344,423.7090148925781
2024-11-15,224.20408630371094,411.9075927734375
2024-11-18,227.21340942382812,412.66192626953125
2024-11-19,227.4724884033203,414.67681884765625
2024-11-20,228.18994140625,412.3939208984375
2024-11-21,227.71163940429688,410.61370849609375
2024-11-22,229.05686950683594,414.7211608886719
2024-11-25,232.04624938964844,416.5013732910156
2024-11-26,234.22850036621094,425.6510925292969
2024-11-27,234.09896850585938,420.67840576171875
2024-11-29,236.490478515625,421.1458435058594
2024-12-02,238.7424774169922,428.624755859375
2024-12-03,241.79165649414062,428.8435363769531
2024-12-04,242.15037536621094,435.0295715332031
2024-12-05,242.18028259277344,440.2011413574219
2024-12-06,241.98098754882812,441.1459655761719
2024-12-09,245.8771514892578,443.5825500488281
2024-12-10,246.8935546875,440.9072570800781
2024-12-11,245.61807250976562,446.5363464355469
2024-12-12,247.08290100097656,447.1032409667969
2024-12-13,247.2522735595703,444.8257141113281
2024-12-16,250.1519775390625,449.12213134765625
2024-12-17,252.58334350585938,451.9764099121094
2024-12-18,247.1725616455078,434.9997253417969
2024-12-19,248.90640258789062,434.6416931152344
2024-12-20,253.58978271484375,434.2140808105469
2024-12-23,254.36703491210938,432.8714294433594
2024-12-24,257.2866516113281,436.9291076660156
2024-12-26,258.1037292480469,435.7157897949219
2024-12-27,254.68588256835938,428.17718505859375
2024-12-30,251.30787658691406,422.50836181640625
2024-12-31,249.5341796875,419.1965637207031
2025-01-02,242.9874267578125,416.2925109863281
2025-01-03,242.4991455078125,421.0364685058594
2025-01-06,244.1333465576172,425.5118713378906
2025-01-07,241.3532257080078,420.0617980957031
2025-01-08,241.8414764404297,422.23980712890625
2025-01-10,236.01217651367188,416.6605224609375
2025-01-13,233.5708465576172,414.9101257324219
2025-01-14,232.45480346679688,413.3984375
2025-01-15,237.028564453125,423.9802551269531
2025-01-16,227.45257568359375,422.25970458984375
2025-01-17,229.16647338867188,426.6853942871094
