Date,AAPL,AMZN,GOOGL,IWM,META,MSFT,NVDA,QQQ,SPY,TSLA
2025-01-03,242.4991455078125,224.19000244140625,191.166748046875,222.6783905029297,603.2208862304688,421.0364685058594,144.43853759765625,516.6280517578125,586.8081665039062,410.44000244140625
2025-01-06,244.1333465576172,227.61000061035156,196.23025512695312,222.76771545410156,628.7313842773438,425.5118713378906,149.39744567871094,522.5655517578125,590.1885375976562,411.04998779296875
2025-01-07,241.3532257080078,222.11000061035156,194.854736328125,220.98175048828125,616.4500732421875,420.0617980957031,140.10946655273438,513.2407836914062,583.5170288085938,394.3599853515625
2025-01-08,241.8414764404297,222.1300048828125,193.3197479248047,219.97964477539062,609.2967529296875,422.2398681640625,140.07948303222656,513.3304443359375,584.3695068359375,394.94000244140625
2025-01-10,236.01217651367188,218.94000244140625,191.41592407226562,215.1377410888672,614.4248046875,416.6604919433594,135.8804168701172,505.2808837890625,575.4476928710938,394.739990234375
2025-01-13,233.5708465576172,218.4600067138672,190.38929748535156,215.554443359375,606.9124145507812,414.9101257324219,133.20098876953125,503.6570129394531,576.3399047851562,403.30999755859375
2025-01-14,232.45480346679688,217.75999450683594,189.04367065429688,218.0051727294922,592.8651733398438,413.3984375,131.73129272460938,503.1788024902344,577.1329345703125,396.3599853515625
2025-01-15,237.028564453125,223.35000610351562,194.91453552246094,222.29144287109375,615.681884765625,423.98028564453125,136.21034240722656,514.7550659179688,587.6310424804688,428.2200012207031
2025-01-16,227.45257568359375,220.66000366210938,192.28311157226562,222.7379608154297,609.8753662109375,422.25970458984375,133.54090881347656,511.14874267578125,586.5008544921875,413.82000732421875
2025-01-17,229.16647338867188,225.94000244140625,195.3630828857422,223.70037841796875,611.342041015625,426.6854248046875,137.6800079345703,519.7760620117188,592.3892822265625,426.5
2025-01-21,221.85244750976562,230.7100067138672,197.4064178466797,227.99658203125,615.0234375,426.1582946777344,140.79933166503906,522.8245849609375,597.811767578125,424.07000732421875
2025-01-22,223.03822326660156,235.00999450683594,197.72537231445312,226.50827026367188,622.0469970703125,443.7616271972656,147.03799438476562,529.5093994140625,601.1723022460938,415.1099853515625
2025-01-23,222.8688507080078,235.4199981689453,197.33665466308594,227.5401611328125,634.966796875,444.2687683105469,147.1879425048828,530.6350708007812,604.4535522460938,412.3800048828125
2025-01-24,221.991943359375,234.85000610351562,199.5594024658203,226.9051513671875,645.9810791015625,441.6332702636719,142.58892822265625,527.6363525390625,602.68896484375,406.5799865722656
2025-01-27,229.04690551757812,235.4199981689453,191.18670654296875,224.7322540283203,658.3422241210938,432.1851806640625,118.39420318603516,512.2745361328125,594.1636962890625,397.1499938964844
2025-01-28,237.41717529296875,238.14999389648438,194.6653594970703,224.9803009033203,672.7584838867188,444.7561340332031,128.9619140625,519.8458251953125,599.26904296875,398.0899963378906
2025-01-29,238.5133056640625,237.07000732421875,194.77499389648438,224.46435546875,674.9135131835938,439.9127197265625,123.67305755615234,518.8695678710938,596.58251953125,389.1000061035156
2025-01-30,236.7495574951172,234.63999938964844,200.21725463867188,226.7464141845703,685.3990478515625,412.7221374511719,124.62285614013672,521.0811157226562,599.784423828125,400.2799987792969
2025-01-31,235.16519165039062,237.67999267578125,203.35702514648438,224.71241760253906,687.5739135742188,412.7917785644531,120.04385375976562,520.323974609375,596.5924682617188,404.6000061035156
