Date,AAPL,AMZN,GOOGL,MSFT,SPY
2024-10-28,232.3187713623047,188.38999938964844,165.98800659179688,423.4112243652344,573.8533935546875
2024-10-29,232.5875244140625,190.8300018310547,168.93499755859375,428.7313232421875,574.7820434570312
2024-10-30,229.03407287597656,192.72999572753906,173.69400024414062,429.3069763183594,573.043212890625
2024-10-31,224.8634796142578,186.39999389648438,170.35870361328125,403.3220520019531,561.809814453125
2024-11-01,221.8773956298828,197.92999267578125,170.5379180908203,407.3121032714844,564.180908203125
2024-11-04,220.98153686523438,195.77999877929688,168.49693298339844,405.41632080078125,562.9656982421875
2024-11-05,222.4148712158203,199.5,168.99473571777344,408.3939514160156,569.7730102539062
2024-11-06,221.68826293945312,207.08999633789062,175.73500061035156,417.0489807128906,583.940673828125
2024-11-07,226.42620849609375,210.0500030517578,179.9563751220703,422.2598571777344,588.455810546875
2024-11-08,226.15716552734375,208.17999267578125,177.56692504882812,419.39141845703125,591.0048217773438
2024-11-11,223.43682861328125,206.83999633789062,179.55813598632812,414.8951721191406,591.5679321289062
2024-11-12,223.43682861328125,208.91000366210938,180.82257080078125,419.87774658203125,589.7303466796875
2024-11-13,224.32366943359375,214.10000610351562,178.09458923339844,422.0315856933594,590.016845703125
2024-11-14,227.41270446777344,211.47999572753906,174.80909729003906,423.7090148925781,586.2230224609375
2024-11-15,224.20408630371094,202.61000061035156,171.732666015625,411.9076232910156,578.7142944335938
2024-11-18,227.21340942382812,201.6999969482422,174.5303192138672,412.66192626953125,581.0855102539062
2024-11-19,227.4724884033203,204.61000061035156,177.33792114257812,414.6767883300781,583.2096557617188
2024-11-20,228.18994140625,202.8800048828125,175.20733642578125,412.3939514160156,583.4072265625
2024-11-21,227.71163940429688,198.3800048828125,166.8939971923828,410.6137390136719,586.5391235351562
2024-11-22,229.05686950683594,197.1199951171875,164.03659057617188,414.7211608886719,588.3569946289062
2024-11-25,232.04624938964844,201.4499969482422,166.9138946533203,416.5013732910156,590.3528442382812
2024-11-26,234.22850036621094,207.86000061035156,168.37745666503906,425.6510925292969,593.4353637695312
2024-11-27,234.09896850585938,205.74000549316406,168.48696899414062,420.67840576171875,591.6371459960938
2024-11-29,236.490478515625,207.88999938964844,168.20819091796875,421.1458435058594,595.3125
2024-12-02,238.7424774169922,210.7100067138672,170.73704528808594,428.6247863769531,596.3795166015625
2024-12-03,241.79165649414062,213.44000244140625,170.58770751953125,428.84356689453125,596.6561279296875
2024-12-04,242.15037536621094,218.16000366210938,173.60438537597656,435.0295715332031,600.361083984375
2024-12-05,242.18028259277344,220.5500030517578,171.88198852539062,440.2011413574219,599.3731079101562
2024-12-06,241.98098754882812,227.02999877929688,173.94293212890625,441.1459655761719,600.5093383789062
2024-12-09,245.8771514892578,226.08999633789062,174.80010986328125,443.58251953125,597.4168701171875
2024-12-10,246.8935546875,225.0399932861328,184.5682830810547,440.9072570800781,595.5594482421875
