ticker,current_price,daily_change,week_start_price,month_start_price,return_pct,volatility,profit_loss,data_source,analyzed_at,combined_score,momentum_score,fundamental_score,sentiment_score,rank_combined_score,rank_momentum_score,rank_fundamental_score,rank_sentiment_score,score,rank
TSLA,391.09,-4.14,404.35,438.97,-10.91,16.73,-47.88,yfinance,2025-11-23T13:13:59.181835,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7999999999999999,1
AMZN,220.69,3.55,234.69,217.95,1.26,25.42,2.74,yfinance,2025-11-23T13:13:59.181824,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,2
META,594.25,5.1,609.46,733.41,-18.97,13.56,-139.16,yfinance,2025-11-23T13:13:59.181812,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6285714285714286,3
GOOGL,299.66,10.21,276.41,251.69,19.06,53.83,47.97,yfinance,2025-11-23T13:13:59.181801,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5428571428571428,4
MSFT,472.12,-6.31,509.23,519.57,-9.13,21.12,-47.45,yfinance,2025-11-23T13:13:59.181788,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.45714285714285713,5
AAPL,271.49,5.24,272.41,258.2,5.15,30.5,13.29,yfinance,2025-11-23T13:13:59.181772,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.37142857142857144,6
NVDA,178.88,-1.76,190.17,180.28,-0.78,15.55,-1.4,yfinance,2025-11-23T13:13:59.181732,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.28571428571428575,7
